==================================================start!!!!==================================================
save directory : exps/new_exp_gpu=0_iter=7
date & time of start is : 2023-08-18 06:22:57
torch version is: 1.8.0
number of GPUs: 1
device: cuda:0
model used for this training is: DYCRNN
Total Trainable Params: 11.061 M
   training starts!
[Epc 1] tt: 0.851, cl_st: 0.532, cl_wk: 0.638, cn_st: 0.004, cn_wk: 0.000, st_vl: 0.197, t_vl: 0.277, t: 129s
[Epc 2] tt: 0.558, cl_st: 0.320, cl_wk: 0.472, cn_st: 0.029, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.214, t: 133s
[Epc 3] tt: 0.438, cl_st: 0.239, cl_wk: 0.394, cn_st: 0.049, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.146, t: 134s
[Epc 4] tt: 0.425, cl_st: 0.231, cl_wk: 0.386, cn_st: 0.031, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.102, t: 134s
[Epc 5] tt: 0.418, cl_st: 0.227, cl_wk: 0.379, cn_st: 0.020, cn_wk: 0.000, st_vl: 0.002, t_vl: 0.057, t: 134s
[Epc 6] tt: 0.411, cl_st: 0.225, cl_wk: 0.370, cn_st: 0.015, cn_wk: 0.000, st_vl: 0.032, t_vl: 0.097, t: 134s
[Epc 7] tt: 0.407, cl_st: 0.222, cl_wk: 0.368, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.034, t_vl: 0.034, t: 134s
[Epc 8] tt: 0.394, cl_st: 0.214, cl_wk: 0.359, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.121, t_vl: 0.066, t: 135s
[Epc 9] tt: 0.385, cl_st: 0.206, cl_wk: 0.355, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.238, t_vl: 0.047, t: 135s
[Epc 10] tt: 0.384, cl_st: 0.207, cl_wk: 0.351, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.255, t_vl: 0.048, t: 135s
[Epc 11] tt: 0.376, cl_st: 0.205, cl_wk: 0.340, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.313, t_vl: 0.046, t: 135s
[Epc 12] tt: 0.370, cl_st: 0.201, cl_wk: 0.334, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.308, t_vl: 0.093, t: 134s
[Epc 13] tt: 0.361, cl_st: 0.199, cl_wk: 0.320, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.386, t_vl: 0.105, t: 134s
[Epc 14] tt: 0.346, cl_st: 0.190, cl_wk: 0.305, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.396, t_vl: 0.161, t: 134s
[Epc 15] tt: 0.340, cl_st: 0.191, cl_wk: 0.290, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.530, t_vl: 0.171, t: 134s
[Epc 16] tt: 0.332, cl_st: 0.184, cl_wk: 0.284, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.452, t_vl: 0.265, t: 136s
[Epc 17] tt: 0.324, cl_st: 0.183, cl_wk: 0.272, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.554, t_vl: 0.265, t: 135s
[Epc 18] tt: 0.312, cl_st: 0.176, cl_wk: 0.258, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.530, t_vl: 0.288, t: 135s
[Epc 19] tt: 0.313, cl_st: 0.178, cl_wk: 0.256, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.562, t_vl: 0.381, t: 134s
[Epc 20] tt: 0.305, cl_st: 0.172, cl_wk: 0.251, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.609, t_vl: 0.398, t: 133s
[Epc 21] tt: 0.300, cl_st: 0.170, cl_wk: 0.243, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.740, t_vl: 0.433, t: 134s
[Epc 22] tt: 0.296, cl_st: 0.168, cl_wk: 0.238, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.759, t_vl: 0.506, t: 134s
[Epc 23] tt: 0.282, cl_st: 0.158, cl_wk: 0.228, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.785, t_vl: 0.533, t: 135s
[Epc 24] tt: 0.283, cl_st: 0.162, cl_wk: 0.220, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.757, t_vl: 0.514, t: 135s
[Epc 25] tt: 0.282, cl_st: 0.164, cl_wk: 0.214, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.874, t_vl: 0.607, t: 135s
[Epc 26] tt: 0.276, cl_st: 0.158, cl_wk: 0.213, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.937, t_vl: 0.617, t: 134s
[Epc 27] tt: 0.269, cl_st: 0.155, cl_wk: 0.205, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.829, t_vl: 0.655, t: 134s
[Epc 28] tt: 0.263, cl_st: 0.148, cl_wk: 0.205, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.960, t_vl: 0.705, t: 135s
[Epc 29] tt: 0.267, cl_st: 0.153, cl_wk: 0.200, cn_st: 0.008, cn_wk: 0.000, st_vl: 0.973, t_vl: 0.792, t: 134s
[Epc 30] tt: 0.270, cl_st: 0.157, cl_wk: 0.199, cn_st: 0.008, cn_wk: 0.000, st_vl: 0.904, t_vl: 0.793, t: 135s
[Epc 31] tt: 0.257, cl_st: 0.146, cl_wk: 0.194, cn_st: 0.008, cn_wk: 0.000, st_vl: 1.005, t_vl: 0.872, t: 135s
[Epc 32] tt: 0.254, cl_st: 0.143, cl_wk: 0.190, cn_st: 0.008, cn_wk: 0.000, st_vl: 0.991, t_vl: 0.898, t: 135s
[Epc 33] tt: 0.251, cl_st: 0.142, cl_wk: 0.184, cn_st: 0.008, cn_wk: 0.000, st_vl: 0.900, t_vl: 0.876, t: 134s
[Epc 34] tt: 0.251, cl_st: 0.140, cl_wk: 0.188, cn_st: 0.007, cn_wk: 0.000, st_vl: 0.984, t_vl: 0.966, t: 134s
[Epc 35] tt: 0.256, cl_st: 0.146, cl_wk: 0.185, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.061, t_vl: 0.950, t: 135s
