==================================================start!!!!==================================================
save directory : exps/new_exp_gpu=1_iter=6
date & time of start is : 2023-08-17 19:42:32
torch version is: 1.8.0+cu111
number of GPUs: 2
device: cuda:1
model used for this training is: DYCRNN
Total Trainable Params: 11.061 M
   training starts!
[Epc 1] tt: 0.850, cl_st: 0.531, cl_wk: 0.639, cn_st: 0.004, cn_wk: 0.000, st_vl: 0.199, t_vl: 0.292, t: 130s
[Epc 2] tt: 0.560, cl_st: 0.322, cl_wk: 0.474, cn_st: 0.028, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.190, t: 131s
[Epc 3] tt: 0.438, cl_st: 0.239, cl_wk: 0.393, cn_st: 0.048, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.147, t: 128s
[Epc 4] tt: 0.425, cl_st: 0.231, cl_wk: 0.385, cn_st: 0.031, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.068, t: 128s
[Epc 5] tt: 0.418, cl_st: 0.227, cl_wk: 0.379, cn_st: 0.020, cn_wk: 0.000, st_vl: 0.001, t_vl: 0.094, t: 129s
[Epc 6] tt: 0.410, cl_st: 0.225, cl_wk: 0.369, cn_st: 0.015, cn_wk: 0.000, st_vl: 0.011, t_vl: 0.064, t: 128s
[Epc 7] tt: 0.407, cl_st: 0.222, cl_wk: 0.367, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.081, t_vl: 0.067, t: 129s
[Epc 8] tt: 0.394, cl_st: 0.213, cl_wk: 0.359, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.078, t_vl: 0.050, t: 129s
[Epc 9] tt: 0.384, cl_st: 0.205, cl_wk: 0.355, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.267, t_vl: 0.053, t: 128s
[Epc 10] tt: 0.384, cl_st: 0.207, cl_wk: 0.351, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.259, t_vl: 0.075, t: 128s
[Epc 11] tt: 0.375, cl_st: 0.203, cl_wk: 0.339, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.344, t_vl: 0.062, t: 128s
[Epc 12] tt: 0.368, cl_st: 0.200, cl_wk: 0.332, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.379, t_vl: 0.109, t: 128s
[Epc 13] tt: 0.361, cl_st: 0.198, cl_wk: 0.320, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.359, t_vl: 0.134, t: 128s
[Epc 14] tt: 0.345, cl_st: 0.190, cl_wk: 0.303, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.397, t_vl: 0.200, t: 128s
[Epc 15] tt: 0.341, cl_st: 0.192, cl_wk: 0.290, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.468, t_vl: 0.229, t: 129s
[Epc 16] tt: 0.332, cl_st: 0.185, cl_wk: 0.284, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.528, t_vl: 0.219, t: 128s
[Epc 17] tt: 0.325, cl_st: 0.183, cl_wk: 0.273, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.577, t_vl: 0.267, t: 128s
[Epc 18] tt: 0.313, cl_st: 0.176, cl_wk: 0.260, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.556, t_vl: 0.358, t: 128s
