==================================================start!!!!==================================================
save directory : exps/new_exp_gpu=1_iter=11
date & time of start is : 2024-06-04 10:53:06
torch version is: 1.8.0+cu111
number of GPUs: 2
device: cuda:1
model used for this training is: DYCRNN
Total Trainable Params: 18.157 M
   training starts!
[Epc 1] tt: 0.781, cl_st: 0.465, cl_wk: 0.630, cn_st: 0.006, cn_wk: 0.000, st_vl: 0.253, t_vl: 0.288, t: 357s
[Epc 2] tt: 0.527, cl_st: 0.287, cl_wk: 0.478, cn_st: 0.024, cn_wk: 0.000, st_vl: 0.003, t_vl: 0.249, t: 352s
[Epc 3] tt: 0.440, cl_st: 0.242, cl_wk: 0.392, cn_st: 0.038, cn_wk: 0.000, st_vl: 0.024, t_vl: 0.156, t: 351s
[Epc 4] tt: 0.419, cl_st: 0.227, cl_wk: 0.381, cn_st: 0.027, cn_wk: 0.000, st_vl: 0.060, t_vl: 0.122, t: 351s
[Epc 5] tt: 0.409, cl_st: 0.222, cl_wk: 0.371, cn_st: 0.018, cn_wk: 0.000, st_vl: 0.100, t_vl: 0.108, t: 351s
[Epc 6] tt: 0.397, cl_st: 0.215, cl_wk: 0.362, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.267, t_vl: 0.124, t: 351s
[Epc 7] tt: 0.383, cl_st: 0.204, cl_wk: 0.356, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.372, t_vl: 0.086, t: 353s
[Epc 8] tt: 0.375, cl_st: 0.204, cl_wk: 0.339, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.324, t_vl: 0.089, t: 352s
[Epc 9] tt: 0.369, cl_st: 0.204, cl_wk: 0.328, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.264, t_vl: 0.127, t: 353s
[Epc 10] tt: 0.362, cl_st: 0.199, cl_wk: 0.321, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.314, t_vl: 0.182, t: 352s
[Epc 11] tt: 0.345, cl_st: 0.190, cl_wk: 0.306, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.287, t_vl: 0.235, t: 352s
[Epc 12] tt: 0.343, cl_st: 0.191, cl_wk: 0.300, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.305, t_vl: 0.228, t: 354s
[Epc 13] tt: 0.330, cl_st: 0.184, cl_wk: 0.286, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.495, t_vl: 0.291, t: 351s
[Epc 14] tt: 0.325, cl_st: 0.184, cl_wk: 0.274, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.406, t_vl: 0.285, t: 352s
[Epc 15] tt: 0.313, cl_st: 0.181, cl_wk: 0.256, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.532, t_vl: 0.301, t: 352s
[Epc 16] tt: 0.307, cl_st: 0.179, cl_wk: 0.246, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.515, t_vl: 0.242, t: 352s
[Epc 17] tt: 0.296, cl_st: 0.170, cl_wk: 0.240, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.667, t_vl: 0.305, t: 352s
[Epc 18] tt: 0.292, cl_st: 0.172, cl_wk: 0.228, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.681, t_vl: 0.381, t: 353s
[Epc 19] tt: 0.289, cl_st: 0.167, cl_wk: 0.231, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.738, t_vl: 0.412, t: 352s
[Epc 20] tt: 0.286, cl_st: 0.165, cl_wk: 0.228, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.809, t_vl: 0.455, t: 352s
[Epc 21] tt: 0.282, cl_st: 0.162, cl_wk: 0.225, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.870, t_vl: 0.554, t: 353s
[Epc 22] tt: 0.287, cl_st: 0.168, cl_wk: 0.221, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.796, t_vl: 0.644, t: 352s
[Epc 23] tt: 0.267, cl_st: 0.155, cl_wk: 0.207, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.715, t_vl: 0.635, t: 353s
[Epc 24] tt: 0.268, cl_st: 0.158, cl_wk: 0.201, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.953, t_vl: 0.760, t: 351s
[Epc 25] tt: 0.260, cl_st: 0.153, cl_wk: 0.195, cn_st: 0.009, cn_wk: 0.000, st_vl: 1.005, t_vl: 0.737, t: 352s
[Epc 26] tt: 0.260, cl_st: 0.149, cl_wk: 0.199, cn_st: 0.009, cn_wk: 0.000, st_vl: 1.011, t_vl: 0.862, t: 352s
[Epc 27] tt: 0.249, cl_st: 0.147, cl_wk: 0.183, cn_st: 0.008, cn_wk: 0.000, st_vl: 0.911, t_vl: 0.886, t: 352s
[Epc 28] tt: 0.255, cl_st: 0.146, cl_wk: 0.193, cn_st: 0.008, cn_wk: 0.000, st_vl: 1.005, t_vl: 0.927, t: 352s
[Epc 29] tt: 0.250, cl_st: 0.144, cl_wk: 0.185, cn_st: 0.008, cn_wk: 0.000, st_vl: 1.015, t_vl: 0.891, t: 352s
[Epc 30] tt: 0.245, cl_st: 0.141, cl_wk: 0.183, cn_st: 0.008, cn_wk: 0.000, st_vl: 0.952, t_vl: 0.991, t: 352s
[Epc 31] tt: 0.241, cl_st: 0.136, cl_wk: 0.182, cn_st: 0.008, cn_wk: 0.000, st_vl: 1.035, t_vl: 1.060, t: 352s
[Epc 32] tt: 0.247, cl_st: 0.143, cl_wk: 0.177, cn_st: 0.008, cn_wk: 0.000, st_vl: 0.785, t_vl: 0.963, t: 352s
[Epc 33] tt: 0.237, cl_st: 0.137, cl_wk: 0.167, cn_st: 0.008, cn_wk: 0.000, st_vl: 1.031, t_vl: 1.037, t: 353s
[Epc 34] tt: 0.242, cl_st: 0.141, cl_wk: 0.167, cn_st: 0.008, cn_wk: 0.000, st_vl: 1.117, t_vl: 1.098, t: 352s
[Epc 35] tt: 0.245, cl_st: 0.142, cl_wk: 0.171, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.106, t_vl: 1.052, t: 353s
[Epc 36] tt: 0.233, cl_st: 0.132, cl_wk: 0.165, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.149, t_vl: 1.135, t: 352s
[Epc 37] tt: 0.226, cl_st: 0.131, cl_wk: 0.154, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.164, t_vl: 1.164, t: 352s
[Epc 38] tt: 0.230, cl_st: 0.129, cl_wk: 0.161, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.116, t_vl: 1.155, t: 351s
[Epc 39] tt: 0.221, cl_st: 0.129, cl_wk: 0.140, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.210, t_vl: 1.219, t: 352s
[Epc 40] tt: 0.235, cl_st: 0.129, cl_wk: 0.165, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.166, t_vl: 1.225, t: 351s
[Epc 41] tt: 0.222, cl_st: 0.123, cl_wk: 0.152, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.184, t_vl: 1.211, t: 352s
[Epc 42] tt: 0.215, cl_st: 0.122, cl_wk: 0.141, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.214, t_vl: 1.218, t: 353s
[Epc 43] tt: 0.217, cl_st: 0.123, cl_wk: 0.140, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.218, t_vl: 1.236, t: 351s
[Epc 44] tt: 0.212, cl_st: 0.114, cl_wk: 0.145, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.149, t_vl: 1.258, t: 352s
[Epc 45] tt: 0.227, cl_st: 0.125, cl_wk: 0.152, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.251, t_vl: 1.263, t: 351s
[Epc 46] tt: 0.218, cl_st: 0.118, cl_wk: 0.151, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.233, t_vl: 1.289, t: 352s
[Epc 47] tt: 0.208, cl_st: 0.110, cl_wk: 0.147, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.102, t_vl: 1.236, t: 352s
[Epc 48] tt: 0.199, cl_st: 0.114, cl_wk: 0.122, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.193, t_vl: 1.310, t: 351s
[Epc 49] tt: 0.206, cl_st: 0.114, cl_wk: 0.135, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.222, t_vl: 1.228, t: 353s
[Epc 50] tt: 0.207, cl_st: 0.117, cl_wk: 0.129, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.284, t_vl: 1.319, t: 353s
[Epc 51] tt: 0.209, cl_st: 0.118, cl_wk: 0.132, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.268, t_vl: 1.286, t: 353s
[Epc 52] tt: 0.207, cl_st: 0.110, cl_wk: 0.146, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.299, t_vl: 1.288, t: 352s
[Epc 53] tt: 0.199, cl_st: 0.106, cl_wk: 0.136, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.305, t_vl: 1.320, t: 354s
[Epc 54] tt: 0.193, cl_st: 0.111, cl_wk: 0.114, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.283, t_vl: 1.348, t: 353s
[Epc 55] tt: 0.198, cl_st: 0.113, cl_wk: 0.120, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.246, t_vl: 1.328, t: 354s
[Epc 56] tt: 0.202, cl_st: 0.115, cl_wk: 0.123, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.180, t_vl: 1.318, t: 354s
[Epc 57] tt: 0.181, cl_st: 0.101, cl_wk: 0.113, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.298, t_vl: 1.309, t: 353s
[Epc 58] tt: 0.194, cl_st: 0.111, cl_wk: 0.119, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.233, t_vl: 1.346, t: 354s
[Epc 59] tt: 0.193, cl_st: 0.105, cl_wk: 0.123, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.201, t_vl: 1.360, t: 354s
[Epc 60] tt: 0.202, cl_st: 0.112, cl_wk: 0.131, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.266, t_vl: 1.354, t: 355s
[Epc 61] tt: 0.181, cl_st: 0.102, cl_wk: 0.112, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.312, t_vl: 1.340, t: 354s
[Epc 62] tt: 0.178, cl_st: 0.100, cl_wk: 0.112, cn_st: 0.005, cn_wk: 0.000, st_vl: 1.363, t_vl: 1.343, t: 356s
[Epc 63] tt: 0.177, cl_st: 0.097, cl_wk: 0.117, cn_st: 0.005, cn_wk: 0.000, st_vl: 1.335, t_vl: 1.348, t: 354s
