==================================================start!!!!==================================================
save directory : exps/new_exp_gpu=0_iter=2
date & time of start is : 2024-11-07 15:29:47
torch version is: 1.8.0
number of GPUs: 1
device: cuda:0
model used for this training is: DYCRNN
Total Trainable Params: 5.401 M
   training starts!
[Epc 1] tt: 0.837, cl_st: 0.520, cl_wk: 0.633, cn_st: 0.004, cn_wk: 0.000, st_vl: 0.197, t_vl: 0.255, t: 73s
[Epc 2] tt: 0.570, cl_st: 0.330, cl_wk: 0.477, cn_st: 0.025, cn_wk: 0.000, st_vl: 0.021, t_vl: 0.244, t: 80s
[Epc 3] tt: 0.443, cl_st: 0.244, cl_wk: 0.394, cn_st: 0.048, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.164, t: 80s
[Epc 4] tt: 0.430, cl_st: 0.235, cl_wk: 0.387, cn_st: 0.032, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.123, t: 79s
[Epc 5] tt: 0.415, cl_st: 0.224, cl_wk: 0.380, cn_st: 0.021, cn_wk: 0.000, st_vl: 0.032, t_vl: 0.099, t: 80s
[Epc 6] tt: 0.408, cl_st: 0.220, cl_wk: 0.373, cn_st: 0.015, cn_wk: 0.000, st_vl: 0.079, t_vl: 0.095, t: 79s
[Epc 7] tt: 0.401, cl_st: 0.215, cl_wk: 0.370, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.068, t_vl: 0.098, t: 80s
[Epc 8] tt: 0.399, cl_st: 0.218, cl_wk: 0.361, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.222, t_vl: 0.084, t: 80s
[Epc 9] tt: 0.390, cl_st: 0.212, cl_wk: 0.354, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.242, t_vl: 0.116, t: 80s
[Epc 10] tt: 0.378, cl_st: 0.201, cl_wk: 0.349, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.341, t_vl: 0.084, t: 80s
[Epc 11] tt: 0.373, cl_st: 0.203, cl_wk: 0.336, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.294, t_vl: 0.107, t: 79s
[Epc 12] tt: 0.360, cl_st: 0.195, cl_wk: 0.325, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.302, t_vl: 0.112, t: 80s
[Epc 13] tt: 0.357, cl_st: 0.196, cl_wk: 0.317, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.357, t_vl: 0.129, t: 79s
[Epc 14] tt: 0.347, cl_st: 0.194, cl_wk: 0.299, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.390, t_vl: 0.234, t: 80s
[Epc 15] tt: 0.330, cl_st: 0.184, cl_wk: 0.283, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.451, t_vl: 0.279, t: 80s
[Epc 16] tt: 0.320, cl_st: 0.179, cl_wk: 0.272, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.524, t_vl: 0.328, t: 79s
[Epc 17] tt: 0.317, cl_st: 0.180, cl_wk: 0.262, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.639, t_vl: 0.286, t: 80s
[Epc 18] tt: 0.311, cl_st: 0.181, cl_wk: 0.246, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.797, t_vl: 0.360, t: 80s
[Epc 19] tt: 0.309, cl_st: 0.175, cl_wk: 0.252, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.673, t_vl: 0.328, t: 79s
[Epc 20] tt: 0.307, cl_st: 0.178, cl_wk: 0.243, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.781, t_vl: 0.395, t: 80s
[Epc 21] tt: 0.293, cl_st: 0.168, cl_wk: 0.231, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.713, t_vl: 0.372, t: 80s
[Epc 22] tt: 0.294, cl_st: 0.168, cl_wk: 0.232, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.716, t_vl: 0.443, t: 79s
[Epc 23] tt: 0.280, cl_st: 0.158, cl_wk: 0.224, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.855, t_vl: 0.501, t: 80s
[Epc 24] tt: 0.279, cl_st: 0.165, cl_wk: 0.207, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.837, t_vl: 0.600, t: 79s
[Epc 25] tt: 0.271, cl_st: 0.157, cl_wk: 0.205, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.807, t_vl: 0.635, t: 80s
[Epc 26] tt: 0.282, cl_st: 0.164, cl_wk: 0.214, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.933, t_vl: 0.723, t: 79s
